Date,Temperature(M),Temperature(L),Temperature(H)
2019-05-01,17.1,12.7,23.1
2019-05-02,17.2,12.9,22.5
2019-05-03,18.2,12,24.4
2019-05-04,18.7,11.2,25.7
2019-05-05,21.4,13.6,28.7
2019-05-06,14.6,10,20.2
2019-05-07,14.4,6.6,20.6
2019-05-08,18.4,10.5,24.7
2019-05-09,19.6,15.1,25.7
2019-05-10,18.8,14,25.7
2019-05-11,19.1,11.2,26.4
2019-05-12,17.2,12.9,23.7
2019-05-13,16.5,10.8,22.3
2019-05-14,20,15.8,25.4
2019-05-15,20.7,15.9,25.3
2019-05-16,21,15,26
2019-05-17,20.7,15.5,24.8
2019-05-18,17.8,16.2,20.2
2019-05-19,19.2,16.1,23.6
2019-05-20,19.1,14.4,23.8
2019-05-21,18.6,11.3,25.5
2019-05-22,21,11.9,28.2
2019-05-23,23.1,15.3,30.7
2019-05-24,24.5,16.1,31.7
2019-05-25,26.6,20.2,31.5
2019-05-26,25.1,19,31.2
2019-05-27,20.1,18.9,23.4
2019-05-28,18.3,13.7,22.7
2019-05-29,21.6,12.2,29.5
2019-05-30,23.5,17.3,29.9
2019-05-31,19.5,15.1,24.3
2019-06-01,19.7,14.6,25.4
2019-06-02,20.8,15.5,27
2019-06-03,22.2,15.3,29.2
2019-06-04,23.1,17.4,29.7
2019-06-05,23.4,19,28.8
2019-06-06,21.7,16.7,27
2019-06-07,18.5,16.9,20
2019-06-08,18.9,16.2,22.6
2019-06-09,17.3,15.4,19.6
2019-06-10,17.7,14.9,21.3
2019-06-11,17.7,15.2,22
2019-06-12,18.1,15.3,21.8
2019-06-13,19.5,13.3,24.7
2019-06-14,18.8,16.5,22.7
2019-06-15,20.2,16.6,26.5
2019-06-16,18.6,15,23.6
2019-06-17,21.3,15.6,27
2019-06-18,23,18.4,27.6
2019-06-19,23.3,19.5,28.2
2019-06-20,24.3,18.6,29
2019-06-21,23.2,18.3,28.6
2019-06-22,19.8,17.4,22.9
2019-06-23,19.1,16.3,22.5
2019-06-24,20.2,16.7,24.6
2019-06-25,21.3,16.5,25.6
2019-06-26,20.4,17.1,23.1
2019-06-27,23.1,21.7,26.4
2019-06-28,21.9,20.7,24.4
2019-06-29,20.7,19.8,21.8
2019-06-30,24.3,20.8,29.5
2019-07-01,24.4,21.3,28.4
2019-07-02,23.7,20.1,29.1
2019-07-03,23.4,20.4,28.1
2019-07-04,24.7,18.5,30
2019-07-05,23.7,20,28.8
2019-07-06,23.2,19.1,27.2
2019-07-07,22.2,20.2,25
2019-07-08,21.6,20.2,24.7
2019-07-09,21.3,19.3,23.8
2019-07-10,21.4,20.4,22.3
2019-07-11,24.5,21.8,28.5
2019-07-12,22.5,20.5,27.1
2019-07-13,22.5,19.9,26.3
2019-07-14,22.7,19,26.4
2019-07-15,22.4,19.5,26
2019-07-16,23.2,19.7,26.8
2019-07-17,23.3,19.4,27.8
2019-07-18,22.1,20.8,23.8
2019-07-19,23.7,22.2,24.8
2019-07-20,24.1,23.4,24.7
2019-07-21,25.6,23.5,29.3
2019-07-22,28,22.9,32.7
2019-07-23,28.8,25.3,33.8
2019-07-24,27.7,24.9,32
2019-07-25,27.3,24.8,30
2019-07-26,27.8,25.6,30.3
2019-07-27,27.5,24.3,31.5
2019-07-28,28.3,26,31.8
2019-07-29,28.1,24.8,32.6
2019-07-30,28.8,25,32.6
2019-07-31,29.7,26.4,33.9
2019-08-01,29.1,24.8,33.3
2019-08-02,29.6,26.1,35
2019-08-03,28.3,24.1,33.6
2019-08-04,28.4,23.6,33.1
